                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 1.5776,                0.68431,                  1.339,                 1.6803,                0.75789,                 1.3184,                0.92288,                0.89167,                0.94847,                0.54557,                  1.499,                 0.6128,                 1.3989,                 1.5307,                 0.5794,                 1.4021,               0.000515,               0.000515,               0.000515
                     78,                 1.5683,                0.68235,                 1.3338,                 1.6719,                0.75246,                 1.3171,                 0.9147,                0.89269,                0.94713,                0.54499,                 1.4974,                0.60828,                 1.3946,                 1.5281,                0.58309,                 1.3967,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.5541,                0.67565,                 1.3337,                 1.6566,                0.74262,                 1.3187,                0.91497,                0.89849,                0.94929,                 0.5513,                 1.4821,                0.60718,                 1.3871,                 1.5151,                0.58014,                 1.3913,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.5513,                 0.6775,                 1.3272,                 1.6547,                0.74387,                 1.3118,                0.90888,                0.89612,                0.94711,                0.54607,                 1.4872,                0.61457,                 1.3898,                 1.5184,                0.60546,                 1.3956,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.5499,                0.67825,                 1.3423,                 1.6516,                0.74517,                 1.3286,                0.91576,                0.89393,                0.94948,                 0.5512,                 1.4812,                0.61704,                 1.3846,                 1.5135,                0.59663,                 1.3891,              0.0004358,              0.0004358,              0.0004358
                     82,                  1.542,                0.67201,                 1.3317,                 1.6404,                0.73617,                 1.3186,                0.91259,                0.89078,                0.94758,                0.54946,                 1.4936,                0.60604,                  1.393,                 1.5225,                0.59159,                 1.3971,               0.000416,               0.000416,               0.000416
                     83,                 1.5668,                0.67913,                 1.3109,                 1.6688,                0.75399,                 1.2926,                0.91406,                0.89578,                0.94901,                0.54891,                 1.4925,                0.61126,                 1.3917,                 1.5242,                0.59293,                  1.396,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.5422,                0.67579,                 1.3465,                 1.6368,                0.73394,                 1.3303,                0.92677,                0.89389,                   0.95,                0.54873,                 1.4892,                0.60436,                 1.3918,                 1.5193,                0.57821,                 1.3943,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.5436,                0.67455,                 1.3233,                 1.6468,                  0.736,                 1.3094,                0.91723,                0.89563,                0.94978,                0.54771,                 1.4839,                 0.6105,                 1.3885,                 1.5121,                0.59338,                 1.3907,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.5346,                0.66681,                 1.3288,                 1.6322,                0.73058,                 1.3126,                0.92977,                0.89442,                0.95148,                0.55409,                 1.4813,                0.60361,                 1.3877,                 1.5097,                0.57062,                 1.3909,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.5355,                  0.664,                 1.3137,                 1.6346,                0.72494,                 1.3006,                0.91752,                0.89913,                0.94973,                 0.5498,                 1.4877,                  0.601,                 1.3895,                  1.518,                0.58472,                  1.391,               0.000317,               0.000317,               0.000317
                     88,                 1.5377,                0.67069,                 1.3364,                 1.6374,                0.72965,                 1.3247,                0.91808,                0.90042,                0.95262,                0.55204,                 1.4876,                0.60716,                 1.3884,                 1.5189,                0.58403,                  1.392,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.5363,                0.66691,                 1.3327,                 1.6387,                0.72864,                 1.3179,                0.91179,                0.90121,                0.94917,                0.54965,                 1.4851,                0.60486,                 1.3887,                 1.5186,                0.58219,                  1.392,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.5383,                0.66293,                 1.3138,                 1.6449,                0.72661,                 1.2961,                0.92168,                0.89782,                0.95098,                0.54901,                 1.4849,                0.60372,                 1.3883,                 1.5179,                 0.5829,                 1.3917,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.5207,                0.66797,                 1.3943,                 1.6047,                0.68664,                 1.3837,                0.92587,                0.89563,                0.95229,                0.54981,                 1.4856,                0.59738,                 1.3901,                 1.5203,                0.55654,                 1.3924,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.5208,                0.65859,                 1.3741,                 1.6079,                 0.6722,                 1.3644,                0.92493,                0.89711,                0.95285,                0.54759,                 1.4919,                0.60449,                   1.39,                 1.5286,                0.55646,                 1.3953,               0.000218,               0.000218,               0.000218
                     93,                  1.517,                0.65029,                 1.3686,                 1.5941,                0.66136,                 1.3608,                0.92397,                 0.8966,                0.95218,                0.54997,                 1.4836,                0.59998,                 1.3881,                 1.5172,                0.56138,                 1.3912,              0.0001982,              0.0001982,              0.0001982
                     94,                  1.516,                0.65287,                   1.38,                 1.5923,                0.66542,                 1.3734,                0.91361,                0.89927,                  0.952,                0.54991,                 1.4904,                0.60318,                 1.3921,                 1.5213,                0.56815,                  1.395,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.5136,                0.65135,                 1.3682,                 1.5884,                0.65766,                 1.3632,                0.91925,                0.89782,                 0.9528,                0.55144,                 1.4796,                0.59892,                 1.3854,                 1.5142,                0.55228,                   1.39,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.5061,                0.64742,                 1.3743,                 1.5853,                0.65947,                 1.3657,                0.92163,                0.89976,                0.95322,                0.55165,                  1.487,                0.59988,                 1.3885,                 1.5222,                0.55517,                 1.3929,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.5069,                0.64318,                 1.3648,                 1.5828,                 0.6536,                 1.3549,                0.91703,                    0.9,                0.95275,                0.55441,                 1.4822,                0.59877,                 1.3865,                 1.5122,                 0.5585,                 1.3888,               0.000119,               0.000119,               0.000119
                     98,                 1.5087,                0.64741,                 1.3731,                 1.5842,                0.65883,                 1.3636,                0.92047,                0.90413,                0.95503,                0.55414,                 1.4822,                0.59591,                 1.3861,                 1.5189,                0.54884,                 1.3905,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.4978,                0.64051,                 1.3576,                 1.5764,                0.65055,                 1.3513,                0.92167,                0.89966,                0.95398,                0.55246,                 1.4835,                0.59728,                 1.3859,                 1.5202,                0.55391,                 1.3906,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.5082,                0.63989,                 1.3669,                 1.5815,                0.64963,                 1.3611,                0.92208,                0.89902,                0.95286,                0.55221,                 1.4853,                0.59534,                 1.3878,                 1.5197,                0.54737,                 1.3916,               5.96e-05,               5.96e-05,               5.96e-05
